Search Query,Results Found,GitHub,How Found
,,NREL/boptest-dashboard,Umbrella
,,NREL/FORCE,Umbrella
,,NREL/a2e2g,Umbrella
,,NREL/sep-project-map,Umbrella
,,NREL/openfast-turbine-models,Umbrella
,,NREL/iv_params,Umbrella
,,NREL/PIDG,Umbrella
,,NREL/api-umbrella-static-site,Umbrella
,,NREL/dencity-web,Umbrella
,,NREL/bricr,Umbrella
,,NREL/CLT-LCA-Tool,Umbrella
,,NREL/floorspace.js,Umbrella
,,NREL/ml4pd,Umbrella
,,NREL/hasty,Umbrella
,,NREL/latex_editing,Umbrella
,,NREL/MODAQ,Umbrella
,,NREL/ciff,Umbrella
,,NREL/nodehaystack,Umbrella
,,NREL/dw-tap-api,Umbrella
,,NREL/hybrid-rl-mpc4clr,Umbrella
,,NREL/mpc4clr,Umbrella
,,NREL/solar-PTES,Umbrella
,,NREL/alfalfa-action,Umbrella
,,NREL/learning-building-control,Umbrella
,,NREL/SOWFA,Umbrella
,,NREL/alfabet,Umbrella
,,NREL/sulfur_tes_ml,Umbrella
,,NREL/SEAS,Umbrella
,,NREL/SLiDE,Umbrella
,,NREL/connected-community,Umbrella
,,NREL/celavi,Umbrella
,,NREL/ysi.ml.nrel.gov-frontend,Umbrella
,,NREL/docker-energyplus,Umbrella
,,NREL/Machine-Learning-Pipeline,Umbrella
,,NREL/sensor-impact-evaluation-and-verification,Umbrella
,,NREL/FDD-RTU,Umbrella
,,NREL/cpd-batch-upload,Umbrella
,,NREL/PVcircuit,Umbrella
,,NREL/RODeO,Umbrella
,,NREL/rlc4clr,Umbrella
,,NREL/ml4pd_models,Umbrella
,,NREL/FESTIV_MODEL,Umbrella
,,NREL/nfp,Umbrella
,,NREL/FEDIS,Umbrella
,,NREL/fpeam,Umbrella
,,NREL/dwind,Umbrella
,,NREL/PyChargeModel,Umbrella
,,NREL/OSIF,Umbrella
,,NREL/MPRL,Umbrella
,,NREL/powerscenarios,Umbrella
,,NREL/Panel-Segmentation,Umbrella
,,NREL/NREL-Branding-React-NPM-Package,Umbrella
,,NREL/api-umbrella-cookbook,Umbrella
,,NREL/spawn-ci,Umbrella
,,NREL/INN-interface,Umbrella
,,NREL/lore,Umbrella
,,NREL/pySMARTS,Umbrella
,,NREL/catcost-data-tools,Umbrella
,,NREL/DER-Dispatch,Umbrella
,,NREL/Grid-Forecasting,Umbrella
,,NREL/Solar-Forecasting,Umbrella
,,NREL/RDMREopt.jl,Umbrella
,,NREL/BUTTER-Better-Understanding-of-Training-Topologies-through-Empirical-Results,Umbrella
,,NREL/docker-openstudio-r,Umbrella
,,NREL/hvac_resources,Umbrella
,,NREL/PVwindow,Umbrella
,,NREL/H5PLEXOS.jl,Umbrella
,,NREL/OpenStudio-aws-gem,Umbrella
,,NREL/INNfoil,Umbrella
,,NREL/mappymatch-examples,Umbrella
,,NREL/DC2AC,Umbrella
,,NREL/nrel-iconomatic,Umbrella
,,NREL/ProgressiveHedging.jl,Umbrella
,,NREL/stepwise,Umbrella
,,NREL/cheeta-clip,Umbrella
,,NREL/lhs,Umbrella
,,NREL/PV-DMFA,Umbrella
,,NREL/TrafficVolumeEstimation,Umbrella
,,NREL/hsds-examples,Umbrella
,,NREL/CO2ROpt,Umbrella
,,NREL/HumidityImpacts,Umbrella
,,NREL/WaterTAP3,Umbrella
,,NREL/EnergyIntensityIndicators,Umbrella
,,NREL/scc,Umbrella
,,NREL/power-gas-coordination,Umbrella
,,NREL/human-metrics-explore,Umbrella
,,NREL/ConductorIdentification,Umbrella
,,NREL/geothermal_osr,Umbrella
,,NREL/rtu-coordination,Umbrella
,,NREL/densegranFoam,Umbrella
,,NREL/edv_synthetic_smart_meter_data,Umbrella
,,NREL/hsds-viz,Umbrella
,,NREL/virtual-battery-aggregator,Umbrella
,,NREL/cpd-docs,Umbrella
,,NREL/h5plexos,Umbrella
,,NREL/GANISP,Umbrella
,,NREL/diversity_SR,Umbrella
,,NREL/EERE-Application-Template-Bootstrap-5,Umbrella
,,NREL/SolarResourceTools,Umbrella
,,NREL/ModuleOT,Umbrella
,,NREL/cloud_fs,Umbrella
,,NREL/SLiDEData,Umbrella
,,NREL/eere_app_module,Umbrella
,,NREL/EVI-OnDemand,Umbrella
,,NREL/psychrometricsExt,Umbrella
,,NREL/routee-api-demo,Umbrella
,,NREL/mobility_landscape,Umbrella
,,NREL/CombIgor,Umbrella
,,NREL/eere-app-template,Umbrella
,,NREL/ROSCO_toolbox,Umbrella
,,NREL/alfalfa-extensions,Umbrella
,,NREL/IBSL,Umbrella
,,NREL/PyPSCAD,Umbrella
,,NREL/Waterfall.jl,Umbrella
,,NREL/CEWAM,Umbrella
,,NREL/catcost-docs,Umbrella
,,NREL/pvinverter,Umbrella
,,NREL/AI-Batt-OS,Umbrella
,,NREL/mobility_landscapeapp,Umbrella
,,NREL/SISSORegressor_MATLAB,Umbrella
,,NREL/EFFORT,Umbrella
,,NREL/drupal-vm,Umbrella
,,NREL/dw-tap-demo,Umbrella
,,NREL/ev-building-demands-2021,Umbrella
,,NREL/eere-ie-projects-map,Umbrella
,,NREL/fhwa-streetlight-aadt-validation,Umbrella
,,NREL/BESTEST-GSR-ARCHIVE,Umbrella
,,NREL/CryptoConfig,Umbrella
,,NREL/OpenStudio-fault-measure-gem,Umbrella
,,NREL/PVLCOE,Umbrella
,,NREL/clustering-analysis-domain-agnostic-features-2018,Umbrella
,,NREL/K_Road,Umbrella
,,NREL/QIS,Umbrella
,,NREL/bewley,Umbrella
,,NREL/ATHENA-forecast,Umbrella
,,NREL/eere_app_custom,Umbrella
,,NREL/ComStock,Umbrella
,,NREL/dss-cosim,Umbrella
,,NREL/HybridBOSSE,Umbrella
,,NREL/mf_econ_dispatch_dash,Umbrella
,,NREL/hdev-depot-charging-2021,Umbrella
,,NREL/vapor,Umbrella
,,NREL/lcoc-ldevs,Umbrella
,,NREL/PSSE_Network_Reduction,Umbrella
,,NREL/reV_Dashboard,Umbrella
,,NREL/ml-combustion-pdf-models,Umbrella
,,NREL/GEAR-SCouP,Umbrella
,,NREL/usbuildingtypology,Umbrella
,,NREL/Caltalyst-Layer-Crack-Detector-CLCD,Umbrella
,,NREL/EULP.github.io,Umbrella
,,NREL/openstudio-metadata-gem,Umbrella
,,NREL/NaTGenPD,Umbrella
,,NREL/SecurityTest,Umbrella
,,NREL/Solar-for-Industry-Process-Heat,Umbrella
,,NREL/ESIFHPC3,Umbrella
,,NREL/EVI-Pro-Lite,Umbrella
,,NREL/HARP_Opt,Umbrella
,,NREL/tracknodes,Umbrella
,,NREL/MAGMA,Umbrella
,,NREL/BuildingStandardsData,Umbrella
,,NREL/python-mlep,Umbrella
,,NREL/dw-tap-app,Umbrella
,,NREL/dao-tk,Umbrella
,,NREL/feedstock_machine_vision,Umbrella
,,NREL/MinCostFlows.jl,Umbrella
,,NREL/Tandem_Solar_Cells,Umbrella
,,NREL/dgen_globetrotter,Umbrella
,,NREL/eere-eti-mapbox,Umbrella
,,NREL/OpenStudio-Recommendation-Engine,Umbrella
,,NREL/BioproductTransitionDynamics,Umbrella
,,NREL/infovis-parallel,Umbrella
,,NREL/EMISApproximateEquilibrium.jl,Umbrella
,,NREL/ATHENA-aspires,Umbrella
,,NREL/ATHENA-sumo,Umbrella
,,NREL/project1-boptest,Umbrella
,,NREL/ThermalRagone,Umbrella
,,NREL/ATHENA-bus,Umbrella
,,NREL/bootstrap_eere_app,Umbrella
,,NREL/EMISCompetitiveEquilibrium.jl,Umbrella
,,NREL/EMIS-Data,Umbrella
,,NREL/Secondary_pore_network,Umbrella
,,NREL/WESyS-Model,Umbrella
,,NREL/tda-ps,Umbrella
,,NREL/WaterSystems.jl,Umbrella
,,NREL/execjs,Umbrella
,,NREL/opf_matrices,Umbrella
,,NREL/WRP-Flexibility,Umbrella
,,NREL/nrel_solarpaces_profile,Umbrella
,,NREL/nrel_iconomatic,Umbrella
,,NREL/deep-image-prior-cfd,Umbrella
,,NREL/ParaOptimizationNS3,Umbrella
,,NREL/nginx,Umbrella
,,NREL/FIB-SEM-EBSD-particle-scale-analysis,Umbrella
,,NREL/eplusout,Umbrella
,,NREL/ESIFHPC2,Umbrella
,,NREL/Industry-energy-data-book,Umbrella
,,NREL/NAFNoise,Umbrella
,,NREL/communications-project,Umbrella
,,NREL/drupal-ecleds-enter,Umbrella
,,NREL/OpenStudio-Calibration-Measures,Umbrella
,,NREL/CapacityCredit.jl,Umbrella
,,NREL/ResourceAdequacy.jl,Umbrella
,,NREL/PRASBase.jl,Umbrella
,,NREL/docker-openstudio-rnotebook,Umbrella
,,NREL/pywtk,Umbrella
,,NREL/JModelica,Umbrella
,,NREL/bokeh-streaming,Umbrella
,,NREL/MAFRIT,Umbrella
,,NREL/EPXMLPreprocessor,Umbrella
,,NREL/OpenStudio-Analysis-Spreadsheet-1.14.0-LTS,Umbrella
,,NREL/simplecov,Umbrella
,,NREL/docker-ubuntu-jmodelica,Umbrella
,,NREL/DG2,Umbrella
,,NREL/docker4drupal,Umbrella
,,NREL/wakebench_swift,Umbrella
,,NREL/pycall.rb,Umbrella
,,NREL/php,Umbrella
,,NREL/media_entity_image,Umbrella
,,NREL/bedrock,Umbrella
,,NREL/CSG-public,Umbrella
,,NREL/cod,Umbrella
,,NREL/TEASER,Umbrella
,,NREL/phpflickr,Umbrella
,,NREL/flickrapi,Umbrella
,,NREL/AESD,Umbrella
,,NREL/daft,Umbrella
,,NREL/OpenStudio-R-Packages,Umbrella
,,NREL/openstudio-cli-demo,Umbrella
,,NREL/AirflowNetwork,Umbrella
,,NREL/View3D-3.2,Umbrella
,,NREL/EnergyPlusRelease,Umbrella
,,NREL/skyline,Umbrella
,,NREL/openstudio-urban-measures,Umbrella
,,NREL/pfibs,Umbrella
,,NREL/dynamo,Umbrella
,,NREL/composer-patches,Umbrella
,,NREL/MetMastVis,Umbrella
,,NREL/block-random,Umbrella
,,NREL/repra,Umbrella
,,NREL/rts-vis-app,Umbrella
,,NREL/rts-data,Umbrella
,,NREL/bootstrap-slider,Umbrella
,,NREL/pydbus,Umbrella
,,NREL/DSS2ePHASOR,Umbrella
,,NREL/TITANIC,Umbrella
,,NREL/pv_soiling,Umbrella
,,NREL/OpenStudio-EMS-Measures,Umbrella
,,NREL/drupal-nginx,Umbrella
,,NREL/TEAM-TDM,Umbrella
,,NREL/cooptima-co-optimizer,Umbrella
,,NREL/DNP3_server_labview_code_PV_application,Umbrella
,,NREL/DRC-Uptower-Measurements,Umbrella
,,NREL/Industrial-Heat-Demand-Analysis,Umbrella
,,NREL/routeE,Umbrella
,,NREL/pv_tomcat,Umbrella
,,NREL/satis,Umbrella
,,NREL/L-TERRA,Umbrella
,,NREL/scout,Umbrella
,,NREL/fpv_technical_potential,Umbrella
,,NREL/bsm-learning,Umbrella
,,NREL/iiESI.org,Umbrella
,,NREL/drupal-php,Umbrella
,,NREL/kaleidoscope,Umbrella
,,NREL/t24compliance-web,Umbrella
,,NREL/OpenStudio-build-shas,Umbrella
,,NREL/vendor-registration-project,Umbrella
,,NREL/htem-api-examples,Umbrella
,,NREL/OpenStudio-analysis-spreadsheet,Umbrella
,,NREL/php-nginx,Umbrella
,,NREL/gridlab-d,Umbrella
,,NREL/buspy,Umbrella
,,NREL/rplexos,Umbrella
,,NREL/dam,Umbrella
,,NREL/solarpaces-project,Umbrella
,,NREL/aces_investigator,Umbrella
,,NREL/small-vendor-db,Umbrella
,,NREL/eom-project,Umbrella
,,NREL/dam-project,Umbrella
,,NREL/nrel_vendor_registration_profile-project,Umbrella
,,NREL/SOEP-Docs,Umbrella
,,NREL/bower-URBANopt-ol-cesium,Umbrella
,,NREL/streamm-tools-tests,Umbrella
,,NREL/wp3-docs,Umbrella
,,NREL/drupal,Umbrella
,,NREL/IPMVP,Umbrella
,,NREL/volttime,Umbrella
,,NREL/OpenStudio-Prototype-Buildings,Umbrella
,,NREL/legacy-openstudio,Umbrella
,,NREL/SolarResourceModelsandTools,Umbrella
,,NREL/example-drops-8-composer,Umbrella
,,NREL/capistrano_nrel_ext,Umbrella
,,NREL/OpenStudio-PTool,Umbrella
,,NREL/glmgen,Umbrella
,,NREL/dencity-gem,Umbrella
,,NREL/OpenWARP,Umbrella
,,NREL/bioluc,Umbrella
,,NREL/ssc_api,Umbrella
,,NREL/EnergyPlusBuildSupport,Umbrella
,,NREL/openstudio-gbxml-validation,Umbrella
,,NREL/eere-femp-td-casestudies,Umbrella
,,NREL/eere-appliance-calculon,Umbrella
,,NREL/eere-sep-projects-map,Umbrella
,,NREL/waterfootprint,Umbrella
,,NREL/ie-data-collection-animation,Umbrella
,,NREL/volttron,Umbrella
,,NREL/omnibus-api-umbrella,Umbrella
,,NREL/api-umbrella-web,Umbrella
,,NREL/api-umbrella-gatekeeper,Umbrella
,,NREL/api-umbrella-config,Umbrella
,,NREL/api-umbrella-router,Umbrella
,,NREL/BACnet,Umbrella
,,NREL/DAKOTA_plugin,Umbrella
,,NREL/BACnet-state,Umbrella
,,NREL/HystepAnalysis,Umbrella
,,NREL/eere-govdelivery-subscription-api,Umbrella
,,NREL/dencity-scripts,Umbrella
,,NREL/incubatenergy.org,Umbrella
,,NREL/vagrant-boxes,Umbrella
,,NREL/hpxml2reso,Umbrella
,,NREL/solar-decathlon,Umbrella
,,NREL/streamm-BuildingBlocks,Umbrella
,,NREL/CampusEnergyModeling,Umbrella
,,NREL/streamm-opv-project,Umbrella
,,NREL/eere-eti-pacific-mapbox,Umbrella
,,NREL/EnergyPlusValidationReports,Umbrella
,,NREL/ie-techassistance-matrix,Umbrella
,,NREL/myRepo,Umbrella
,,NREL/chef-repo,Umbrella
,,lbnlp/lbnlp,Search Finding
,,lbnlp/NERRE,Umbrella
,,lbnlp/MatBERT_NER,Umbrella
,,lbnlp/MatBERT,Umbrella
,,lbnlp/slurm-ray-cluster,Umbrella
,,lbnlp/xscholar-vespa,Umbrella
,,jupyter/lbnl-jupyterday,Search Finding
,,NERSC/dl4sci-tf-tutorials,Search Finding
,,NERSC/spack-infrastructure,Umbrella
,,NERSC/timemory,Umbrella
,,NERSC/podman-hpc,Umbrella
,,NERSC/intro-NERSC-resources,Search Finding
,,NERSC/nccl-ofi-plugin,Umbrella
,,NERSC/mlperf-hpc,Umbrella
,,NERSC/sfapi_client,Umbrella
,,NERSC/easybuild-deployment,Umbrella
,,NERSC/nersc-ml-images,Umbrella
,,NERSC/nersc-tf-tests,Umbrella
,,NERSC/Community,Umbrella
,,NERSC/FLAC-HDF5-plugin,Umbrella
,,NERSC/additional-resources-menu,Umbrella
,,NERSC/nersc-refresh-announcements,Umbrella
,,NERSC/Migrate-to-Perlmutter,Umbrella
,,NERSC/jupyterlab-slurm,Umbrella
,,NERSC/data-day-2022,Umbrella
,,NERSC/slurm-ray-cluster,Umbrella
,,NERSC/sc21-dl-tutorial,Umbrella
,,NERSC/sc22-canopie-hpc-benchmarks,Umbrella
,,NERSC/kokkos-core-wiki,Umbrella
,,NERSC/data-seminars,Umbrella
,,NERSC/nersc-nvidia-ai4sci,Umbrella
,,NERSC/crash-course-supercomputing,Umbrella
,,NERSC/sshspawner,Umbrella
,,NERSC/climatecontours_gold,Umbrella
,,NERSC/ecp-container-tutorial,Umbrella
,,NERSC/shifter,Umbrella
,,NERSC/spack,Umbrella
,,NERSC/pytorch-examples,Umbrella
,,NERSC/jupyterlab-favorites,Umbrella
,,NERSC/jupyterlab-recents,Umbrella
,,NERSC/ipypathchooser,Umbrella
,,NERSC/jupyterlab-cpustatus,Umbrella
,,NERSC/sc22-dl-tutorial,Umbrella
,,NERSC/itt-python,Umbrella
,,NERSC/pytokio,Umbrella
,,NERSC/oidcauthenticator,Umbrella
,,NERSC/jupyter-kernel-cloner,Umbrella
,,NERSC/nersc_sdn,Umbrella
,,NERSC/jupyterhub-entrypoint,Umbrella
,,NERSC/weekly-emails-temp,Umbrella
,,NERSC/ml-pm-training-2022,Umbrella
,,NERSC/pyFF,Umbrella
,,NERSC/PetitionErrorHandler,Umbrella
,,NERSC/giveandtake,Umbrella
,,NERSC/sshproxy,Umbrella
,,NERSC/Perlmutter_Training_Jan2022,Umbrella
,,NERSC/globus-connect-server-deploy,Umbrella
,,NERSC/tokio-abc,Umbrella
,,NERSC/timemory-tutorials,Umbrella
,,NERSC/SC21-NERSC-NRE-paper,Umbrella
,,NERSC/jupyterhub-entrypoint-dev,Umbrella
,,NERSC/tokio-cray,Umbrella
,,NERSC/customs,Umbrella
,,NERSC/jupyterhub-deploy,Umbrella
,,NERSC/kokkos,Umbrella
,,NERSC/slurm-helpers,Umbrella
,,NERSC/dl-io-benchmarks,Umbrella
,,NERSC/nersc-tensorboard-helper,Umbrella
,,NERSC/spin-recipes,Umbrella
,,NERSC/LLVM-openmp,Umbrella
,,NERSC/sc20-dl-tutorial,Umbrella
,,NERSC/LibWrap,Umbrella
,,NERSC/dask-labextension,Umbrella
,,NERSC/clonenotebooks,Umbrella
,,NERSC/variable-time-job,Umbrella
,,NERSC/mlperf-prof,Umbrella
,,NERSC/CDash,Umbrella
,,NERSC/tf-perf-kernels,Umbrella
,,NERSC/cmake-helpers,Umbrella
,,NERSC/rstudio-deploy,Umbrella
,,NERSC/ipysliceviewer,Umbrella
,,NERSC/spin-docker-compose-example,Umbrella
,,NERSC/LogSet,Umbrella
,,NERSC/jupyterlab_resuse,Umbrella
,,NERSC/slurm-magic,Umbrella
,,NERSC/ipyexperimenter,Umbrella
,,NERSC/llvm-project,Umbrella
,,NERSC/instrumentation-benchmark,Umbrella
,,NERSC/sc19-dl-tutorial,Umbrella
,,NERSC/lustre-design-analysis,Umbrella
,,NERSC/newt-2.0,Umbrella
,,NERSC/dl4sci-scaling-tutorial,Umbrella
,,NERSC/gpu-for-science-day-july-2019,Umbrella
,,NERSC/isc19-dl-tutorial,Umbrella
,,NERSC/sshapiauthenticator,Umbrella
,,NERSC/Jupyter-Superfacility,Umbrella
,,NERSC/tokio-abcutils,Umbrella
,,NERSC/c2d,Umbrella
,,NERSC/cug19-da-tutorial,Umbrella
,,NERSC/iotickets,Umbrella
,,NERSC/cosmoflow-sims,Umbrella
,,NERSC/nerscspawner,Umbrella
,,NERSC/Shifter-Tutorial,Umbrella
,,NERSC/ecp19-dl-tutorial,Umbrella
,,NERSC/inference_benchmarks,Umbrella
,,NERSC/object-store,Umbrella
,,NERSC/hpc,Umbrella
,,NERSC/in-memory_object_store,Umbrella
,,NERSC/sc18-dl-tutorial,Umbrella
,,NERSC/nersc-latex-presentation,Umbrella
,,NERSC/smwflow,Umbrella
,,NERSC/pyprob,Umbrella
,,NERSC/cray-bdc-deeplearning,Umbrella
,,NERSC/hep_cnn_benchmark,Umbrella
,,NERSC/example-jupyter-notebooks,Umbrella
,,NERSC/data-day-2018-DL-Scaling,Umbrella
,,NERSC/SMWG-reference-arch,Umbrella
,,NERSC/BGW-Kernels,Umbrella
,,NERSC/DL-Parallel-IO,Umbrella
,,NERSC/CosmoFlow,Umbrella
,,NERSC/io,Umbrella
,,NERSC/shifter-tools,Umbrella
,,NERSC/gsiauthenticator,Umbrella
,,NERSC/MiniDFT,Umbrella
,,NERSC/spin-flask-demo,Umbrella
,,NERSC/data-day-examples,Umbrella
,,NERSC/train,Umbrella
,,NERSC/nersc-flask-starter,Umbrella
,,NERSC/new-user-training-notebooks,Umbrella
,,NERSC/heterogeneous-IO,Umbrella
,,NERSC/ior-bench-cori,Umbrella
,,NERSC/mkdocs-material,Umbrella
,,NERSC/pam_mfa,Umbrella
,,NERSC/QENESAP,Umbrella
,,NERSC/dxchange,Umbrella
,,NERSC/cori-tf-distributed-examples,Umbrella
,,NERSC/nersc-python-bench,Umbrella
,,NERSC/pynamic,Umbrella
,,NERSC/lc2-hdf5-110,Umbrella
,,NERSC/CompactCori,Umbrella
,,NERSC/cug2017-extending-cle6,Umbrella
,,NERSC/slurm_tf_helper,Umbrella
,,NERSC/climate-caffe,Umbrella
,,NERSC/2016-11-14-sc16-Container-Tutorial,Umbrella
,,NERSC/base-images,Umbrella
,,NERSC/dayabay-learn,Umbrella
,,NERSC/globus-jupyter-notebooks,Umbrella
,,NERSC/BB-unit-tests,Umbrella
,,NERSC/hypy,Umbrella
,,NERSC/pydap,Umbrella
,,NERSC/dayabay-data-conversion,Umbrella
,,NERSC/qpredict,Umbrella
,,NERSC/hackathon-2016-02,Umbrella
,,NERSC/training,Umbrella
,,NERSC/avs_image_mgr,Umbrella
,,NERSC/chos,Umbrella
,,NERSC/Hadoop-on-Demand,Umbrella
,,NERSC/minimond,Umbrella
,,LBNL-AMO-MCTDHF/V1,Search Finding
,,LBNL-AMO-MCTDHF/MANUAL,Search Finding
,,LBNL-AMO-MCTDHF/EXAMPLES-DEPOT,Search Finding
,,jeonghanlee/epicsarchiverap-env,Search Finding
,,goxberry/desmond,Search Finding
,,rnc-lbl/auau200GeVRun14,Search Finding
,,rnc-lbl/fileLists,Umbrella
,,rnc-lbl/run14D0Public,Umbrella
,,matthew-li/lbnl_hpl_doc,Search Finding
,,LBNL-UCB-STI/beam-core-analysis,Search Finding
,,LBNL-UCB-STI/beam,Umbrella
,,LBNL-UCB-STI/beam-data-austin,Umbrella
,,LBNL-UCB-STI/beam-data-sfbay,Umbrella
,,LBNL-UCB-STI/activitysim-configs-sfbay,Umbrella
,,LBNL-UCB-STI/PILATES,Umbrella
,,LBNL-UCB-STI/beam-data-dallas,Umbrella
,,LBNL-UCB-STI/beam-data-seattle,Umbrella
,,LBNL-UCB-STI/activitysim,Umbrella
,,LBNL-UCB-STI/activitysim-configs-seattle,Umbrella
,,LBNL-UCB-STI/matsim,Umbrella
,,LBNL-UCB-STI/r5,Umbrella
,,LBNL-UCB-STI/GEMS-data,Umbrella
,,LBNL-UCB-STI/beam-data-newyork,Umbrella
,,LBNL-UCB-STI/beam-viz,Umbrella
,,LBNL-UCB-STI/activitysim-configs-austin,Umbrella
,,LBNL-UCB-STI/helics-wrapper,Umbrella
,,LBNL-UCB-STI/beam-utilities,Umbrella
,,LBNL-UCB-STI/beam-data-detroit,Umbrella
,,LBNL-UCB-STI/GTFS2MATSim,Umbrella
,,LBNL-UCB-STI/routing-framework,Umbrella
,,LBNL-UCB-STI/omx-java,Umbrella
,,LBNL-UCB-STI/GEMS-validation,Umbrella
,,LBNL-UCB-STI/Colab-Test,Umbrella
,,LBNL-UCB-STI/gem,Umbrella
,,LBNL-UCB-STI/jsprit-wrapper,Umbrella
,,LBNL-UCB-STI/synthpop,Umbrella
,,LBNL-UCB-STI/or-tools-wrapper,Umbrella
,,LBNL-UCB-STI/beam-dev,Umbrella
,,LBNL-UCB-STI/tncstoday,Umbrella
,,LBNL-UCB-STI/scala-csv,Umbrella
,,LBNL-UCB-STI/docker-grafana-graphite,Umbrella
,,LBNL-UCB-STI/gh-issues-gantt,Umbrella
,,LBNL-UCB-STI/mapdb,Umbrella
,,LBNL-UCB-STI/osm-lib,Umbrella
,,LBNL-UCB-STI/gtfs-lib,Umbrella
,,areaDetector/ADFastCCD,Search Finding
,,areaDetector/ADPICam,Umbrella
,,areaDetector/ADTimePix3,Umbrella
,,areaDetector/ADPilatus,Umbrella
,,areaDetector/ADGenICam,Umbrella
,,areaDetector/specsAnalyser,Umbrella
,,areaDetector/ADCore,Umbrella
,,areaDetector/ADPylon,Umbrella
,,areaDetector/ADAravis,Umbrella
,,areaDetector/ADVimba,Umbrella
,,areaDetector/ADAndor3,Umbrella
,,areaDetector/ADMythen,Umbrella
,,areaDetector/ADLightField,Umbrella
,,areaDetector/ADLambda,Umbrella
,,areaDetector/areaDetector,Umbrella
,,areaDetector/ADPvCam,Umbrella
,,areaDetector/ADCSimDetector,Umbrella
,,areaDetector/ADmar345,Umbrella
,,areaDetector/NDDriverStdArrays,Umbrella
,,areaDetector/ADCompVision,Umbrella
,,areaDetector/ADRIXSCam,Umbrella
,,areaDetector/ADEiger,Umbrella
,,areaDetector/ADSpinnaker,Umbrella
,,areaDetector/ADViewers,Umbrella
,,areaDetector/ADProsilica,Umbrella
,,areaDetector/pvaDriver,Umbrella
,,areaDetector/ADURL,Umbrella
,,areaDetector/ADAndor,Umbrella
,,areaDetector/ADmarCCD,Umbrella
,,areaDetector/ADPerkinElmer,Umbrella
,,areaDetector/ADPointGrey,Umbrella
,,areaDetector/ADPixirad,Umbrella
,,areaDetector/ADDexela,Umbrella
,,areaDetector/ADSimDetector,Umbrella
,,areaDetector/ADUVC,Umbrella
,,areaDetector/ADSupport,Umbrella
,,areaDetector/areaDetector.github.io,Umbrella
,,areaDetector/ffmpegServer,Umbrella
,,areaDetector/ADPluginBar,Umbrella
,,areaDetector/aravisGigE,Umbrella
,,areaDetector/ADPcoWin,Umbrella
,,areaDetector/ADPhotron,Umbrella
,,areaDetector/ADQImaging,Umbrella
,,areaDetector/ADPluginCentroids,Umbrella
,,areaDetector/ADADSC,Umbrella
,,areaDetector/ADBruker,Umbrella
,,areaDetector/ADFireWireWin,Umbrella
,,areaDetector/ADPSL,Umbrella
,,areaDetector/ADPhotonII,Umbrella
,,areaDetector/ADRoper,Umbrella
,,areaDetector/ADnED,Umbrella
,,areaDetector/ADPluginEdge,Umbrella
,,areaDetector/ADPCO,Umbrella
,,areaDetector/ADMerlin,Umbrella
,,areaDetector/ADMMPAD,Umbrella
,,areaDetector/ADCameralink,Umbrella
,,areaDetector/ADTimePix,Umbrella
,,areaDetector/firewireDCAM,Umbrella
,,areaDetector/ADExample,Umbrella
,,areaDetector/ADBinaries,Umbrella
,,areaDetector/ADSBIG,Umbrella
,,areaDetector/ffmpegViewer,Umbrella
,,UTokyo-ICEPP/aqcel,Search Finding
,,satyarth934/lbnl-climate-resilience,Search Finding
,,simpeg-research/lbnl-2019-resistive-casing,Search Finding
,,yqin/slurm-plugins,Search Finding
,,tinypersimmon/lbnl,Search Finding
,,dhhxu/LBNL-ion7350-interface,Search Finding
,,GRETINA-LBNL/gretina-unpack,Search Finding
,,GRETINA-LBNL/Rm134Fill,Umbrella
,,GRETINA-LBNL/DecompViewer,Umbrella
,,GRETINA-LBNL/BasisProduction,Umbrella
,,GRETINA-LBNL/gretina-screwUpSim,Umbrella
,,rz4/DeepProteinScoring,Search Finding
,,lbnl-cybersecurity/LBNL_Physics_Based_IDS,Search Finding
,,lbnl-cybersecurity/hpc_data_integrity_code,Umbrella
,,lbnl-cybersecurity/lbnl-cybersecurity.github.io,Search Finding
,,lbnl-cybersecurity/.github,Umbrella
,,lbnl-cybersecurity/SoDa,Umbrella
,,lbnl-cybersecurity/community-catalog,Umbrella
,,lbnl-cybersecurity/tee-hpc,Umbrella
,,lbnl-cybersecurity/tstat-dtn-analysis,Umbrella
,,lbnl-cybersecurity/dtkm-sparcs,Umbrella
,,lbnl-cybersecurity/ddos-detection,Umbrella
,,lbnl-cybersecurity/sparcs,Umbrella
,,lbnl-cybersecurity/tstat-transport,Umbrella
,,lbnl-cybersecurity/LBNL-catalog,Search Finding
,,dani-lbnl/2019_als_user_meeting,Search Finding
,,gt-crnch-rg/riscv-tutorial-dac-21,Search Finding
,,martingascon/Lawrence-Berkeley-Lab,Search Finding
,,ucb-bar/lbnl-torch,Search Finding
,,vchuravy/lbnl-julia,Search Finding
,,kurtschlueter/LBNLcamProject,Search Finding
,,dani-lbnl/camerawde2023,Search Finding
,,arianmaghsoudnia/LBNL74_building_behaviour,Search Finding
,,auroc10/LBNL,Search Finding
,,JacobBRodriguez/Skyspark_Pipeline,Search Finding
,,gmachiraju/lbnl,Search Finding
,,aaronyujiaze/LBNL,Search Finding
,,NDoherty/LBNLModel,Search Finding
,,JacobBRodriguez/LBNL,Search Finding
,,CCSzum/https-github.com-LBNL-ETA-better_lbnl-,Search Finding
,,amstocker/LBNLResearch,Search Finding
